lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,abe_average,veh_average,Blank,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6,veh_N7,Abe_N7
5_L-Threonine,-0.639218236,9.934194008,13.08531871,2.98E-04,0.01939936,120.1 -> 57,pos1,5353.752354,8405.74457,1629.560104,9883.920753,5233.540333,7010.960426,5069.280369,8180.000603,4879.400307,6536.080456,5465.380367,10417.76061,6121.160397
4_Sphingosine,-0.62464234,10.61972378,12.51899405,4.03E-04,0.022217939,300.3 -> 282.3,pos2,8739.764639,13567.62887,1812.860134,13446.96082,10576.84081,13447.68076,8542.980606,15779.7209,6482.160503,9508.020596,5346.720409,15655.76129,12750.12087
4_Succinic acid,-0.625621288,10.39419476,12.55279369,3.96E-04,0.022217939,119 -> 73,pos2,7480.324496,11619.97684,1435.560116,10522.66074,8316.460556,12071.36086,10403.4207,12918.88104,6033.660393,11098.52077,3131.600212,11488.46082,9516.480621
1_Valine,-0.564557535,15.38193434,10.26507025,0.001355726,0.064593489,118.1 -> 72.1,pos2,246645.9978,366935.7531,9612.04071,332510.3599,288463.3994,383022.3281,344322.707,365455.5633,173501.592,373548.0483,61624.90445,380142.4658,365317.3862
2_Valine,-0.567078821,14.86753768,10.3559847,0.001290556,0.064593489,118.1 -> 55.1,pos2,172654.3642,257281.49,5019.560371,234604.8364,192018.833,266425.9985,234844.1367,261096.8965,126197.0696,256018.2388,46903.08356,268261.4795,263308.6982
4_O-Phosphoethanolamine,-0.565339373,8.208275966,10.15203962,0.001441417,0.064593489,142 -> 42,pos1,1562.948106,2334.052161,1768.460125,3033.220192,1467.960098,1823.640125,1676.140102,2953.200214,1555.520107,1793.580139,1641.700115,2066.620136,1473.420109
5_D-Fructose 6-phosphate,-0.543431083,17.68514819,9.516255121,0.002036598,0.0858965,261 -> 81,pos2,1230016.453,1803648.532,20018.8014,1608549.157,1533427.807,1968232.027,1545857.868,1805328.123,1116906.199,1789207.284,257931.8589,1846926.066,1695958.534
4_(+)-alpha-Tocopherol,-0.53600346,8.803863657,9.178049072,0.00244935,0.097565764,431.4 -> 430.4,pos2,2496.844169,3634.556271,1539.940121,4290.200352,1743.780136,4281.260288,1496.020103,3297.240273,1596.740105,3321.980259,1410.980083,2982.100182,6236.700417
3_progesterone,-0.526076117,11.01707369,8.905081747,0.002843781,0.107315332,315.2 -> 81.1,pos2,12002.20893,17384.70915,2364.880173,16708.46108,15119.18119,19358.36148,11644.10097,15369.8611,13089.64095,17598.14098,2654.740173,17888.72113,17503.38136
2_Spermidine,0.52304539,8.263441141,8.700723092,0.003180838,0.108602913,146.2 -> 72.1,pos2,2331.772173,1638.156113,2185.160175,2004.040123,2553.860203,1663.120117,2401.640213,1824.860134,2731.20018,1384.3801,2324.680164,1314.380093,1647.480103
3_Glycine,-0.522521475,9.845443245,8.764732227,0.003071112,0.108602913,76 -> 30,pos1,5218.688376,7561.716515,2281.000164,8786.020653,4458.700279,5441.040356,4077.800301,7613.940536,4255.080276,6141.700397,7439.660645,9825.88063,5862.200378
1_L-Isoleucine; 1_L-Leucine,-0.504007469,16.41405379,8.192091493,0.004207339,0.136245868,132.1 -> 86.1,pos2,517343.752,738271.3827,14699.06115,650557.4829,591158.603,734460.6069,762732.6133,793749.7163,387360.7472,744504.5298,139312.6105,768084.5776,706154.186
2_L-Isoleucine,-0.498859069,13.98371299,8.024878308,0.004613913,0.137840638,132.1 -> 69.1,pos2,96137.20662,136704.4494,3159.800217,121234.0284,110734.9283,136865.0692,142247.7493,143455.4497,70758.70496,134869.3491,26554.52187,147098.3506,130390.1287
2_4-Hydroxy-L-proline,-0.488974938,14.98690754,7.712420729,0.005484216,0.156445772,132.1 -> 86,pos2,193507.2775,273293.2109,6080.220417,251307.0977,223611.3762,274531.4189,282874.5181,292024.1987,148435.9108,271114.7197,49373.34351,277488.6196,263241.2388
3_L-Leucine,-0.484885599,13.68704657,7.583265122,0.005891263,0.156445772,132.1 -> 43.1,pos2,78539.86151,110615.0238,4588.720337,102192.9073,85859.6665,111044.0883,114996.2878,116103.7681,63707.96497,109994.2672,23316.2419,113740.0883,104819.1464
5_L-Cystine,0.487918785,8.50466086,7.596692571,0.005847547,0.156445772,241 -> 120,pos2,2863.35222,2062.584142,1417.280098,2321.620155,2300.140167,2310.360149,2228.480167,1650.380131,2123.620163,2207.160149,5422.200451,1823.400124,2242.320152
2_L-Leucine,-0.481533803,14.8473097,7.480456496,0.006237226,0.159717528,132.1 -> 44.1,pos2,176159.284,247578.6975,5270.720402,236503.1973,207219.5339,251599.1968,260781.8367,248748.7007,138559.27,250036.3157,50567.04385,251006.0771,223668.7356
3_L-Isoleucine,-0.470817128,14.56253376,7.152449599,0.007486167,0.173147799,132.1 -> 44,pos2,145233.7983,202571.3625,4446.220299,173687.4133,167085.1326,206494.4141,219001.3525,215798.7546,117231.3092,206356.6558,37158.84294,210519.5747,185692.354
5_Cytidine,-0.473970219,10.89667257,7.232692591,0.007158776,0.173147799,244.1 -> 95,pos2,9874.72067,13786.04096,18911.38152,24020.88176,5358.180389,14284.36098,2589.620186,13445.8409,3690.120277,9820.560699,11141.20087,7358.560463,26594.48163
5_L-Phenylalanine,-0.472590703,14.31433571,7.205988664,0.007266071,0.173147799,166.1 -> 120.1,pos2,122248.7123,170815.6319,2476.920189,162489.7726,137965.9709,172365.6321,156096.3297,183406.7124,107791.4878,162740.731,57687.42346,173075.3115,151702.3497
4_Anthranilic acid,-0.471236462,8.177957711,7.066686365,0.007853036,0.174617554,138.1 -> 92,pos1,1606.140119,2243.932153,1565.420105,2669.200172,1514.700115,1784.460136,1490.480114,2557.620186,1447.620106,1785.16011,1490.640106,2423.220158,2087.260155
5_Methionine,-0.466825529,11.69056222,7.025257542,0.008036791,0.174617554,150.1 -> 56.1,pos2,19799.19344,27545.76999,1414.880108,25770.8418,19674.76149,28991.32236,25075.84171,30345.42209,16660.42117,25491.68188,10318.0608,27129.58183,27266.88205
2_Testosterone propionate,-0.451441902,8.920924186,6.526029251,0.010630701,0.206005753,345.2 -> 109.1,pos2,2799.488177,3842.588259,1725.340115,5540.140396,1566.480114,3926.480301,1657.24012,3911.560238,1696.160122,3338.960197,1528.140106,2495.800163,7549.420425
4_Asparagine,-0.455027884,11.2645503,6.673448618,0.009785965,0.206005753,133.1 -> 87.1,pos2,14757.537,20365.2054,1605.940117,18708.8213,17184.1412,17368.18124,21267.48129,22802.50146,13610.06086,21280.44137,3853.520245,21666.08162,17872.48138
5_DL-Homoserine,-0.451080704,12.23462063,6.563608369,0.01040851,0.206005753,120.1 -> 56,pos2,29077.25809,39979.60284,2042.560131,36104.02219,24245.6617,40474.16284,29401.54228,42863.80331,22160.02158,40408.22266,19025.02136,40047.80319,50554.04352
6_L-Phenylalanine,-0.452761197,11.78654345,6.610507648,0.010137876,0.206005753,166.1 -> 103.1,pos2,21263.80143,29293.07008,1713.200119,26683.68192,22160.48131,30236.38223,24610.48172,30580.08206,19034.46118,28517.5419,11085.28076,30447.66229,29428.30219
3_Elaidic acid,-0.448519031,8.660278751,6.429101063,0.011226538,0.211827054,283.3 -> 69.1,pos1,2237.176154,3075.94821,2530.580162,4919.560303,1941.540142,2805.260201,1526.660091,2903.70018,2099.140175,2564.600189,2118.040138,2186.620178,3500.500221
2_FMN,-0.439819786,9.767747506,6.218204018,0.012644331,0.224860388,455.1 -> 97,pos1,5098.740365,6959.420449,2472.560184,7894.500545,4703.900364,7113.500477,4853.16037,6507.400394,5594.280319,6299.740376,2653.320194,6981.960453,7689.040577
4_Oxaloacetate,-0.439441224,10.30080204,6.216237603,0.012658383,0.224860388,133 -> 45.1,pos2,7420.512537,10126.47271,3101.880219,9834.860676,8003.340584,10179.66069,8509.780659,11316.66081,5579.740437,10018.52077,3534.000263,9282.660599,11475.70074
5_D-Lactose,-0.438448506,10.32158892,6.188525832,0.012858125,0.224860388,341.1 -> 97,pos1,7516.172563,10248.82874,3316.100231,10364.14085,9085.920712,10583.74071,7067.600487,9577.920628,7779.48056,10770.40079,2704.280193,9947.940716,10943.58086
2_L-2-Aminobutyric acid,-0.437335883,8.685499865,6.117420945,0.013385596,0.228511239,104.1 -> 41,pos1,2389.892172,3260.448243,1350.600109,2894.340233,3005.080212,2825.220203,2347.680172,3161.400238,2618.84021,3520.380264,1489.2201,3900.900276,2488.640167
1_Trazodone,-0.430393204,10.20104117,5.96286885,0.014610249,0.241398351,372.2 -> 176.1,pos2,7071.808508,9603.592693,1351.940094,9289.740677,10066.70056,9618.800701,9741.180767,9506.800644,6625.340485,9785.54073,2434.580185,9817.080715,6491.24054
2_Ornithine,-0.429070762,10.34467995,5.928194834,0.014900498,0.241398351,133.1 -> 70.1,pos1,7795.072565,10587.39674,1672.600117,11462.2608,8789.200638,10108.42069,6696.300472,11785.58074,6119.000492,9643.800804,9020.500664,9936.920662,8350.360561
3_D(-)-hydroxy butyric acid,-0.429793039,8.48157533,5.898879039,0.015150524,0.241398351,105.1 -> 77,pos2,2030.992139,2751.728197,1802.220119,2926.480221,1682.16011,3198.200233,1421.980095,2885.240219,1623.500122,2706.420177,1534.800133,2042.300133,3892.520237
3_4-Hydroxy-L-proline,-0.413015078,9.345118086,5.477861728,0.019258804,0.284724579,132.1 -> 68,pos2,3879.12028,5198.508392,1428.820103,5099.56041,4057.840271,5740.540421,4838.120319,5204.420391,3307.140278,4861.800346,1774.960136,5086.22039,5417.540398
3_Testosterone propionate,-0.411048365,10.08280712,5.438884431,0.019693243,0.284724579,345.2 -> 97.1,pos2,6473.872437,8663.352602,2422.180183,9962.760696,6840.34042,9826.580658,7509.800552,9018.540573,4854.740334,7401.460503,3004.360199,7107.420578,10160.12068
6_L-Cystine,0.411468843,8.894647322,5.42457473,0.019855271,0.284724579,241 -> 74,pos2,3705.824265,2814.824212,1542.280094,2720.780216,2479.940159,3537.600277,2723.740181,2681.000229,2519.360168,2485.560158,7685.2206,2649.18018,3120.860214
4_Stearic acid,-0.409943359,8.868705477,5.382327006,0.020341728,0.285980769,285.3 -> 89.1,pos2,2664.512189,3553.656293,2588.760162,6713.920631,1455.240112,4270.620346,1417.000099,2346.360165,1411.900105,2176.420147,1570.660122,2260.960175,7467.760509
3_Creatine,-0.392410565,9.391841172,4.947467447,0.026128917,0.340626067,132.1 -> 90.1,pos1,4028.668312,5328.680396,1526.620113,3993.860287,4945.600368,4758.800331,4292.940353,5529.420372,6973.780556,5271.500431,1352.8801,7089.82056,2578.140182
4_L-Phenylalanine,-0.395642195,8.363840026,4.997830272,0.025379115,0.340626067,166.1 -> 131,pos2,1927.804138,2554.212192,1287.420097,3396.580235,1770.500141,2282.940178,1893.520138,2715.980209,1541.200108,1967.380157,1501.26012,2408.18018,2932.540184
6_Aconitic acid,-0.392713259,10.19991925,4.967420189,0.025829145,0.340626067,175 -> 69,pos1,7097.624535,9404.292687,2080.260139,8521.680553,7269.940441,8563.520641,4212.160339,9824.000671,7730.020668,10321.02081,10101.9009,9791.240761,6174.10033
1_L-Proline,-0.385337361,14.90818186,4.798200151,0.028489485,0.36340364,116.1 -> 70.1,pos2,191012.0331,251224.4694,3288.720257,209321.4539,267216.1978,249965.4963,239069.7363,246843.8975,192696.0725,268618.7402,51016.38358,281372.7593,205061.7754
5_D-Biotin,-0.383971271,8.612602578,4.714830856,0.029903507,0.36340364,245.1 -> 97,pos2,2196.120164,2886.032195,2736.100166,4017.260258,1626.900116,2931.820221,1500.640125,3303.480209,1647.000134,2143.640148,2285.260178,2033.96014,3920.800266
5_D-Glucose,-0.383572314,9.110032277,4.721424856,0.029789049,0.36340364,163.1 -> 85,pos1,3276.980228,4303.276301,1859.58012,4481.040295,3366.680222,3219.640232,3280.440228,4719.260353,2371.680172,3803.140255,2311.24015,5293.300369,5054.860367
6_Stearic acid,-0.383640393,8.946526648,4.716900647,0.029867531,0.36340364,285.3 -> 57.1,pos2,2764.756179,3627.244256,3529.320244,4473.620308,1797.040127,3801.240253,1833.200134,3678.920284,1845.180119,3241.080223,2528.300163,2941.36021,5820.060352
4_D(-)-hydroxy butyric acid,-0.351559494,12.50624882,3.99375478,0.045669186,0.538537022,105.1 -> 45,pos2,36519.57447,46922.55953,1693.140114,34617.8625,47601.74257,47438.34311,49204.06393,47911.32362,42609.96318,51142.44423,8444.660568,53502.82419,34737.4421
5_Elaidic acid,-0.352714479,8.894457932,3.988311462,0.045816957,0.538537022,283.3 -> 57.1,pos1,2745.844215,3530.352254,2861.720192,6120.86047,1781.300133,2663.520161,1951.640137,3501.080242,2886.460213,3072.620239,2259.28017,2293.680157,4850.540421
2_Acetylcarnitine,-0.343757566,9.773597596,3.804507012,0.051114821,0.59111817,204.1 -> 85,pos2,5347.180396,6834.140481,2079.720146,5395.120319,5697.54047,7142.820473,6061.82037,7971.74052,6929.000538,6759.860603,2334.180153,6901.160488,5713.360451
6_Glutamine; 3_L-Lysine,-0.337651671,12.62640961,3.684903227,0.054907158,0.624895748,147.1 -> 56.1,pos1,39722.25073,50671.06732,2958.360188,52777.92346,36880.62271,38106.46286,37345.32257,51830.60342,45939.74264,48925.02295,51144.20405,61715.32392,27301.36171
6_Glutamine; 3_L-Lysine,-0.337651671,12.62640961,3.684903227,0.054907158,0.624895748,147.1 -> 56.1,pos2,44952.08711,50775.27154,2671.760178,38903.58293,37460.40245,44295.46268,49952.58366,57379.74402,41243.88329,60206.32471,40375.44251,53091.24338,55728.12366
4_UDP,-0.335528341,10.25187839,3.629594129,0.056760657,0.635896737,405 -> 96.9,pos1,7567.212492,9611.480682,1901.000141,9556.780819,8047.82058,9847.500713,9905.520618,9498.060638,7130.48045,9172.640602,2929.460217,9982.420635,9822.780594
1_L-2-Aminobutyric acid,-0.32903168,16.22270864,3.501475276,0.061314187,0.639768351,104.1 -> 58.1,pos1,485877.9655,614749.4923,4573.54034,535113.5818,636942.7422,628875.8228,689039.5485,637072.7618,545340.5787,637322.4161,99788.26797,635362.8791,458278.6901
1_Zeaxanthin,-0.332545653,10.51766898,3.566687284,0.058949802,0.639768351,569.4 -> 568.4,pos2,8487.780615,10749.72876,9306.760708,12722.08103,7576.900505,9640.980682,6135.720528,10823.80073,9081.700623,10506.48067,4616.580307,10055.3007,15028.00111
4_Citrulline,-0.33518327,8.209628261,3.585152625,0.058298061,0.639768351,176.1 -> 113.1,pos1,1759.244136,2234.748156,1314.100101,2697.620178,1687.580132,2272.480133,1294.940105,2049.740177,1756.600136,1947.340137,1430.980103,2206.560154,2626.120205
5_5'-CMP,-0.32995636,9.011944217,3.494643424,0.061567666,0.639768351,324.1 -> 95,pos1,3118.760236,3936.788259,1922.240143,6004.300362,1765.280148,4073.880295,1985.640148,3575.640232,2006.280136,3295.240219,1892.160122,2734.880188,7944.440628
6_ATP,-0.332171428,9.008870318,3.541641887,0.059846193,0.639768351,508 -> 97,pos1,3114.648206,3950.656262,1719.220104,3866.800232,3946.320274,3784.32024,2907.880207,3630.680252,3108.580185,4815.780327,2080.220139,3655.70026,3530.240227
5_DL-3,-0.319975966,8.792535844,3.282884833,0.070005777,0.71705917,167 -> 85,pos1,2693.552202,3390.724245,1448.560089,2680.000172,3366.120308,3077.740192,1693.420128,3894.680321,2194.180176,3363.26025,3221.240204,3937.940289,2992.800194
4_5'-CMP,-0.317455071,8.820315941,3.230913417,0.072260374,0.729728003,324.1 -> 97,pos1,2646.072191,3320.572226,2665.840183,3989.380272,2585.960167,3845.960236,2805.000214,3006.340202,1971.120155,2704.020203,2018.980137,3057.160217,3849.300282
4_L-Cystine,0.316763659,8.005989319,3.195726403,0.073830963,0.735233345,241 -> 122,pos2,1889.340128,1532.324108,1324.220093,1498.840115,1561.140095,1550.740112,1604.48011,1769.240124,1618.160107,1491.2001,3238.200226,1351.60009,1424.7201
9_Hypoxanthine,-0.313724887,9.188915168,3.163084841,0.07532073,0.739794017,137 -> 110,pos1,3606.592276,4514.300313,1388.480103,4780.560318,4135.900341,3682.940281,3780.520264,4423.760284,3717.160282,4465.2803,1955.320145,5218.960381,4444.060349
3_Retinyl palmitate,-0.311493699,8.523947179,3.105753505,0.078016122,0.755912968,525.5 -> 81.1,pos2,2234.416169,2791.668207,1345.040092,3033.500217,2620.920193,3406.940266,2036.340157,2552.860165,1946.840149,2734.300228,1302.640099,2230.740158,3265.340248
2_Atenolol,-0.300676251,8.938024231,2.901520043,0.088496066,0.817060507,265.2 -> 97,neg2,2950.028201,3651.504255,2313.760166,5647.680382,1676.480118,3698.660233,2816.480221,3332.540234,1707.600109,3074.780239,1786.920128,2503.860188,6762.660427
3_Glutamic acid; 3_L-Glutamate,-0.300360531,10.40042575,2.910777808,0.08798943,0.817060507,148.1 -> 130.1,pos2,8472.664573,10499.15275,2429.200169,8545.380547,9032.540642,11165.5608,8633.96056,9576.12075,9480.900635,11053.86076,4038.080265,12154.84089,11177.84076
4_Elaidic acid,-0.302188099,7.943874968,2.906529836,0.088221511,0.817060507,283.3 -> 67.1,pos1,1450.916101,1802.224122,1426.200104,2036.16013,1235.160099,2184.580151,1303.420086,1828.300125,1362.000088,1639.880119,1319.220104,1322.200085,2034.780128
5_L-Tryptophan,-0.299485256,10.4961747,2.894447517,0.088885243,0.817060507,205.1 -> 146.1,pos1,9113.620649,11306.28482,1874.420151,14391.50106,7989.960491,9245.060757,9945.200768,11654.42083,7751.840603,9726.840698,8853.320576,11513.60075,11027.78081
6_ADP,-0.298146164,10.00942442,2.865449109,0.090500445,0.821377461,428 -> 97,pos1,6392.392468,7910.484568,2668.720181,7723.160503,6825.580521,9404.20071,8155.280586,6792.800503,5035.08036,7807.220615,3092.760216,7825.040508,8853.260658
3_Palmitic acid,-0.297405299,8.731540918,2.835011729,0.092230128,0.826612521,257.2 -> 57.1,pos1,2528.260181,3127.368224,2288.820156,3549.380257,1711.360126,2867.400219,2051.120132,3253.860237,2222.660175,2562.160168,2434.800163,3404.040237,4221.36031
5_cAMP,-0.292795786,8.670456533,2.747170851,0.09742668,0.862406539,330.1 -> 119,pos1,2457.98417,3028.560229,1890.200134,4140.040306,1692.180115,3521.520279,1687.520115,2830.260216,1936.06015,2564.120186,2007.80014,2086.860157,4966.360329
4_Pyroglutamic acid; 1_Acetaminophen (paracetamol),-0.28781887,7.919066627,2.636097733,0.104459839,0.901453269,152 -> 110,pos1,1423.132101,1751.93212,1500.660107,1800.040123,1446.260101,1359.200096,1383.440098,1788.180115,1311.540085,1962.320126,1509.760105,1849.920139,1464.660114
5_Stearic acid,-0.286057459,8.489294026,2.618720193,0.105609588,0.901453269,285.3 -> 71.1,pos2,2153.060153,2641.048198,1880.460133,3078.360245,1618.060127,2720.500202,1522.220108,2934.380215,1566.820114,2439.820171,1857.460117,2032.180157,4200.740299
3_Methionine,-0.283660816,8.736053463,2.580514871,0.108186467,0.912584669,150.1 -> 104.1,pos2,2656.588181,3258.468223,1096.100079,3721.460258,2972.620209,3398.460236,3047.460205,3300.300228,1894.520126,2862.920208,1990.600151,3009.200184,3377.740211
4_L-Tryptophan,-0.279299359,9.120196715,2.507109357,0.113333646,0.944886331,205.1 -> 188.1,pos1,3458.76825,4232.05233,1569.700111,4559.16032,3005.760204,4880.380424,3375.48027,4789.480419,3289.820271,2588.000164,3655.960262,4343.240322,3966.82024
_2-hydroxy-butanoic acid,-0.012414749,7.775221756,0.004904134,0.94417016,0.9988429,103 -> 57.1,neg2,1417.244099,1441.3561,1425.920094,1439.720093,1413.020084,1450.360096,1406.360104,1452.300095,1418.920101,1447.360115,1416.540104,1417.0401,1431.380104
1_(+)-alpha-Tocopherol,0.011598457,7.7424245,0.004278602,0.947846748,0.9988429,429.4 -> 414.4,neg2,1396.580099,1396.904096,1396.940105,1401.260098,1391.240097,1399.100094,1397.060101,1393.280098,1399.040104,1395.620098,1396.600098,1395.260094,1398.960098
1_2-Aminoadipic acid,0.014934907,7.554025198,0.007075708,0.932963227,0.9988429,160.1 -> 116.1,neg1,1227.052087,1224.496091,1223.000092,1226.10009,1224.800091,1223.680092,1225.92009,1222.860088,1227.860081,1225.60009,1226.040092,1224.240093,1230.640083
1_2-isopropylmalate; 2_2-Isopropylmalic acid,0.011738449,7.553955349,0.004371051,0.947287123,0.9988429,175.1 -> 115,neg2,1400.936093,1398.8881,1397.220097,1400.900105,1392.040089,1405.000095,1396.620094,1393.240101,1403.400089,1400.100098,1398.740093,1395.200104,1413.8801
1_2-isopropylmalate; 2_2-Isopropylmalic acid,0.011738449,7.553955349,0.004371051,0.947287123,0.9988429,175.1 -> 115,neg1,1225.540086,1225.708087,1223.920082,1226.320087,1221.200077,1221.760086,1226.020092,1230.980087,1227.300079,1227.920082,1224.800091,1221.560093,1228.380089
1_2-Isopropylmalic acid,0.012994791,7.55058758,0.005356467,0.941656606,0.9988429,175.1 -> 150,neg1,1222.860087,1221.960089,1224.460072,1223.520092,1219.460087,1221.520081,1223.360081,1221.580093,1225.44009,1222.880089,1221.560093,1220.300091,1224.480083
1_3-Indoleacetic Acid,0.011229223,7.745401469,0.004010665,0.949503878,0.9988429,174.1 -> 130,neg2,1399.056095,1399.732098,1402.220097,1404.620106,1392.620094,1400.180103,1398.560097,1397.740097,1400.720097,1396.400093,1398.900093,1399.720093,1404.480095
1_4-Hydroxy-L-proline,0.012145772,7.74369992,0.004692013,0.945388998,0.9988429,130.1 -> 98.3,neg2,1398.1521,1397.9401,1397.520096,1402.240105,1392.080101,1400.120098,1398.700096,1393.280102,1401.500103,1396.280109,1397.220104,1397.780087,1401.260094
1_5'-CMP,-0.032537829,7.595526929,0.033605535,0.854548413,0.9988429,322 -> 97,neg1,1244.23609,1283.028089,1240.540081,1284.800091,1220.540085,1287.760086,1238.94009,1278.860096,1240.92009,1324.620094,1223.900101,1239.100079,1296.880085
1_6-Hydroxynicotinic acid,-0.01337767,7.771949561,0.005694329,0.939848105,0.9988429,138 -> 94,neg2,1415.9881,1440.936101,1399.560104,1441.640106,1402.060101,1463.820103,1402.740101,1450.360096,1407.940094,1426.120102,1404.380096,1422.740097,1462.820107
1_Acetyl CoA,0.012658604,7.552684886,0.005083072,0.943162446,0.9988429,850.1 -> 419,neg1,1224.664088,1224.040083,1224.7201,1224.660084,1219.700096,1225.520084,1224.44009,1225.22007,1227.680084,1223.640083,1222.540085,1221.160091,1228.960087
1_Acetylcarnitine,-0.007471166,7.771912433,0.001776207,0.966383047,0.9988429,204.1 -> 145.1,pos2,1425.016105,1444.148107,1337.840096,1260.060089,1465.360123,1475.560108,1405.620098,1556.06012,1468.0201,1473.100109,1365.220108,1455.96011,1420.860096
1_Aconitic acid,-0.016702021,7.587454057,0.00885385,0.925033773,0.9988429,173 -> 129,neg1,1244.632091,1269.45209,1228.780079,1292.420094,1225.860081,1268.060085,1250.800095,1266.560089,1226.740093,1283.760086,1222.500084,1236.460094,1297.260101
1_Adenine,0.009955653,7.556498465,0.003144244,0.955283208,0.9988429,134 -> 106.9,neg1,1226.380084,1228.044083,1231.740097,1223.160088,1218.680088,1229.100079,1228.760086,1226.160091,1228.640072,1231.760075,1225.76009,1230.040085,1230.060085
1_adipic acid,-0.010646645,7.831752964,0.003609596,0.952091988,0.9988429,145.1 -> 101.1,neg2,1482.540103,1505.752106,1408.2201,1511.720104,1497.440098,1534.500114,1448.560108,1483.780102,1476.100101,1506.060104,1452.260094,1492.700104,1538.340115
1_ADP,0.013440229,7.551096426,0.005730038,0.939660154,0.9988429,426 -> 158.9,neg1,1223.620084,1222.352092,1223.44009,1224.200092,1219.800083,1220.44009,1225.76009,1223.540096,1225.220074,1223.740089,1224.12009,1219.840092,1223.200085
1_ADP-Glu,0.011397674,7.603665605,0.004123928,0.948796793,0.9988429,588.1 -> 346.1,neg1,1268.360091,1268.828085,1267.520084,1271.280087,1265.300095,1270.060081,1271.300087,1265.780083,1271.680092,1271.180092,1264.480095,1265.840084,1269.040089
1_ADP-Rib,0.014112199,7.550857631,0.006317294,0.936649722,0.9988429,558.1 -> 366.1,neg1,1223.612085,1221.768086,1224.160088,1224.800091,1221.560085,1221.820084,1225.140083,1219.880085,1227.240086,1223.000084,1220.740086,1219.340088,1223.380085
