lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,abe_average,veh_average,Blank,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6,veh_N7,Abe_N7
5_L-Phenylalanine,-0.871962058,13.67513245,36.25245313,1.73E-09,1.04E-07,166.1 -> 120.1,pos2,22376.23756,41255.85477,51067.58369,128547.1686,21113.76155,17576.46122,22548.82153,17772.42119,20841.24141,19619.9213,21715.48172,22763.30151,25661.8816
2_4-Hydroxy-L-proline,-0.863788405,14.26166125,35.60425155,2.42E-09,1.33E-07,132.1 -> 86,pos2,36993.00271,67786.72523,30453.42204,204223.5765,34867.62293,36883.16263,36920.34264,29925.98222,30303.32193,32194.46242,37559.18251,35706.44235,45314.54355
5_2-isopropylmalate; 6_2-Isopropylmalic acid,0.863868617,11.46940329,35.44467051,2.62E-09,1.34E-07,177.1 -> 95,pos1,9853.920652,5413.452387,3279.780251,5447.200367,12054.94081,3454.840237,12981.94082,8977.78064,8841.160664,4649.12035,7670.500507,4538.320343,7721.060455
5_2-isopropylmalate; 6_2-Isopropylmalic acid,0.863868617,11.46940329,35.44467051,2.62E-09,1.34E-07,177.1 -> 95,pos2,5683.08839,2862.352198,1257.800095,2580.960194,7811.100533,1896.220142,7662.180481,5511.540314,3639.360241,2035.080158,5948.320423,2287.960182,3354.48027
4_Glutamic acid; 4_L-Glutamate,-0.853961565,11.62115522,34.63490821,3.98E-09,1.90E-07,148.1 -> 84,pos2,5078.62034,9216.588657,17294.62133,20495.22147,5893.540382,4404.460335,4097.340275,4363.580311,3872.34024,7293.280449,5076.660358,9526.400719,6453.220444
1_Valine,-0.839007092,14.38356121,33.62029554,6.70E-09,3.00E-07,118.1 -> 72.1,pos2,40540.97469,72950.40938,35459.64285,199966.0759,37822.72263,42006.40283,39468.66295,31283.12238,36664.70264,41614.80232,36270.08229,49881.64345,52478.70294
3_Creatine,-0.806159096,11.04651647,30.86998114,2.76E-08,1.16E-06,132.1 -> 90.1,pos1,4153.860293,7309.164515,2317.140156,20083.20147,3330.300262,2530.820187,4479.440281,3559.460274,3212.500233,5073.920322,5053.820389,5298.420319,4693.240299
5_Methionine,-0.776968382,10.73939222,28.64960718,8.67E-08,3.45E-06,150.1 -> 56.1,pos2,3365.464223,5804.292383,2360.560135,16757.14101,3286.760254,3245.560261,3117.260208,2622.940208,3176.040184,2780.2202,3298.180206,3615.600231,3949.080265
5_DL-3,0.772852537,11.6928354,28.15307422,1.12E-07,4.23E-06,167 -> 85,pos1,3244.208234,1899.036134,67574.2447,2016.280136,6150.900463,2095.880142,3821.360256,1781.200134,2344.280186,1826.340126,1795.440121,1775.480129,2109.060146
1_L-Isoleucine; 1_L-Leucine,-0.722269146,15.64828187,25.01500353,5.69E-07,2.04E-05,132.1 -> 86.1,pos2,103047.9988,171080.4556,78366.66542,495345.2916,99589.64545,91273.88644,91927.64655,83448.62571,86352.30542,80708.94639,101922.187,104625.5277,135448.2097
4_meso-Erythritol,0.716979065,14.43937452,24.6396887,6.91E-07,2.36E-05,145 -> 104,pos1,59269.24405,36127.19059,147955.311,51804.74381,76505.82436,36337.60234,80690.46551,30577.66232,40190.2832,23552.60166,54902.74417,38363.34284,44056.90303
2_L-Isoleucine,-0.698017712,12.99822789,23.34051011,1.36E-06,4.42E-05,132.1 -> 69.1,pos2,16049.75312,26195.57778,19513.14106,71697.02452,15378.34097,14983.90096,18393.78127,10652.76085,14062.36093,18695.40144,13036.74095,14948.8011,19377.5415
2_L-Carnitine,-0.627039047,9.908075726,18.6079544,1.61E-05,4.70E-04,162.1 -> 60.1,pos2,2004.808147,3112.228235,1474.7001,7779.640629,2286.060158,1687.900105,1684.460133,1540.420094,1785.220127,2185.020142,2116.480156,2368.160206,2151.82016
6_Dulcitol (i.e. Galactitol),0.625431466,10.41913246,18.59119525,1.62E-05,4.70E-04,183.1 -> 57,pos1,4213.588299,2735.700191,3720.320271,3938.240253,5189.240372,1566.920109,5892.44043,3405.560249,2602.140148,2977.880215,4106.64032,1789.900131,3277.480225
6_L-Phenylalanine,-0.623496267,11.28918908,18.56966291,1.64E-05,4.70E-04,166.1 -> 103.1,pos2,4761.012328,7377.356492,9856.720661,19890.06131,4656.22031,3579.600231,4878.480309,4340.660305,4453.700298,4162.200298,4196.200325,4914.260315,5620.460396
4_Succinic acid,-0.604199817,10.109579,17.32010693,3.16E-05,8.71E-04,119 -> 73,pos2,2302.660157,3515.900253,2014.620148,8117.840599,2174.260124,2173.480152,2256.560146,2025.900131,2470.660191,2413.300186,1825.660133,2848.980194,2786.160191
6_L-Tyrosine,-0.589370399,10.52489786,16.50447417,4.85E-05,0.001288885,182.1 -> 136.1,pos1,2515.840182,3803.460294,9906.300858,8798.640686,2237.500175,2593.720215,2867.980209,1790.840122,2523.580181,2739.28022,2178.180161,3094.820225,2771.960186
5_Arginine,-0.583279145,14.16185824,16.35491467,5.25E-05,0.001344882,175.1 -> 70.1,pos2,24196.86177,36416.93872,213680.8753,84131.88634,25552.04192,28239.98164,22404.0617,18768.2614,22716.38158,25556.36216,23299.36169,25388.20203,27012.46199
2_Acetylcarnitine,-0.57817647,11.13229827,15.98435557,6.39E-05,0.001579083,204.1 -> 85,pos2,4793.468334,7185.248602,3319.320248,15494.08136,4346.540256,3365.360241,3507.720276,3377.840252,4581.920326,6249.520531,5677.160404,7439.440628,5854.000408
4_Histidine,-0.558110162,11.01378,14.85308474,1.16E-04,0.002777606,156.1 -> 110.1,pos2,3277.456235,4840.604325,17648.6614,9693.240696,3321.360214,3797.440254,2399.160194,2837.880188,3230.540241,4017.660244,3207.220207,3856.800243,4229.000317
5_DL-Homoserine,-0.534140587,10.75392464,13.59799473,2.26E-04,0.005237043,120.1 -> 56,pos2,2999.140206,4363.584284,11842.02094,10506.32064,2922.340195,2839.680191,2615.780167,2357.780159,2807.820198,3083.180248,3055.900211,3030.960178,3593.86026
4_Asparagine,-0.527284016,10.84045519,13.28667783,2.67E-04,0.005989162,133.1 -> 87.1,pos2,3908.996286,5659.604416,3794.720257,13151.50095,4323.900318,4066.880276,3561.920292,3338.500233,3865.540283,3775.320316,3801.680264,3965.820309,3991.940273
4_Cytidine,-0.514415796,9.198576048,12.42407156,4.24E-04,0.009208783,244.1 -> 112.1,pos2,1248.796083,1789.91613,1326.320091,3586.300282,1256.980095,1331.0201,1190.240082,1413.280094,1247.40007,1217.880081,1272.600086,1401.100094,1276.760082
5_L-Tryptophan,-0.500677222,11.3453085,11.99836428,5.32E-04,0.011228909,205.1 -> 146.1,pos1,4488.384342,6376.968426,18973.28132,14315.06093,2698.480228,3721.44022,4061.220299,4502.820305,4972.080376,3886.940269,4713.520313,5458.580402,5996.620495
7_Oxoglutaric acid; 9_Oxoglutaric acid,0.490230822,13.59154652,11.57340324,6.69E-04,0.013705324,147 -> 65,pos2,10805.65281,10012.53273,59802.96404,11590.32084,13125.08087,9561.540642,10402.8209,8695.240608,11469.48087,10336.68084,8900.400703,9878.880703,10130.48073
7_Oxoglutaric acid; 9_Oxoglutaric acid,0.490230822,13.59154652,11.57340324,6.69E-04,0.013705324,147 -> 65,pos1,30321.76207,21619.88159,87577.12602,30279.5624,41520.40279,23426.28151,32416.16206,17961.80108,23230.32169,14425.48107,30341.48233,22006.28188,24100.44147
6_Arginine,-0.48525596,12.40201476,11.31109774,7.70E-04,0.01519266,175.1 -> 60.1,pos2,8065.340537,11334.52087,55522.0033,24528.62214,9414.740623,9165.40062,6843.64035,6477.34045,7859.580498,7779.120434,7497.360439,8722.120708,8711.380772
6_Theanine,-0.489672167,9.294246392,11.27873265,7.84E-04,0.01519266,175.1 -> 84,pos2,1329.720092,1874.128141,1637.820087,3899.900303,1306.820084,1563.000114,1322.400093,1275.620098,1334.700089,1328.160095,1325.320099,1303.960094,1359.360096
6_L-Aspartic Acid,0.478674336,10.17510053,10.90476733,9.59E-04,0.01809804,134 -> 43,pos2,3460.828216,2483.248164,2763.640205,2714.540188,6908.060402,2407.340145,2265.460155,2019.12014,2584.700153,2346.360142,2494.580173,2928.880207,3051.340195
4_Oxaloacetate,-0.476541023,10.41527192,10.82720164,0.001000197,0.018388235,133 -> 45.1,pos2,2851.732213,3983.392287,4263.840332,8446.880611,2660.680191,2491.400192,2752.940212,2458.580162,2474.520195,3279.040234,3125.340256,3241.060234,3245.18021
5_L-Serine,-0.456846862,10.04611835,9.886839664,0.00166465,0.029838855,106.1 -> 42,pos2,1816.152133,2501.480193,8178.8405,5191.94043,2104.040169,1866.820145,1582.58012,1476.320107,1677.300117,1915.70015,1602.640099,2056.620136,2114.200161
2_L-Lysine,-0.422670855,15.03308331,8.617042643,0.003330321,0.058240006,147.1 -> 84.1,pos1,29037.43799,39029.73451,604863.2065,67326.86345,25619.84172,40890.80249,23792.94163,17749.56139,34559.9821,35908.26249,31421.22219,33273.18274,29793.2023
4_L-Aspartic Acid,0.351208823,10.11292038,5.876339973,0.015345689,0.261972833,134 -> 70,pos2,3064.104207,2401.508174,3789.940273,2639.060192,5966.080399,2410.360195,1793.42012,1866.84013,2185.400143,2902.620197,2538.020176,2188.660156,2837.600197
4_Creatine,-0.344285704,9.693934617,5.62644911,0.017691434,0.294994369,132.1 -> 87.1,pos1,1913.440134,2435.232161,1535.140114,3886.500244,1748.920124,1908.220123,2032.70015,1430.780098,2299.180145,2115.420158,1668.920116,2835.240181,1817.480133
3_Methionine,-0.338428313,9.243006423,5.400092497,0.020135684,0.316989978,150.1 -> 104.1,pos2,1394.276103,1766.324118,1217.540089,2645.04018,1302.2201,1392.740093,1438.840111,1358.780094,1605.620117,1412.100094,1248.180096,2022.960129,1376.520092
4_L-Tyrosine,0.336560716,10.49274675,5.405261912,0.020076136,0.316989978,182.1 -> 165.1,pos1,3381.064225,2680.580189,10221.64074,3794.600273,3826.360229,3035.620205,2781.880207,1724.140121,4160.940308,2559.200169,2144.70013,2289.340176,3991.44025
4_Arginine,-0.326253335,11.22430582,5.101673038,0.023902778,0.364644507,175.1 -> 116.1,pos2,3972.408293,4996.600372,22523.66121,9470.800842,3669.280254,3867.280296,4622.420364,3621.620239,4344.760307,3880.960232,3093.340263,4142.340252,4132.240276
6_Oxoglutaric acid; 8_Oxoglutaric acid,0.31999847,12.94810371,4.940535223,0.026233912,0.39186906,147 -> 105.9,pos1,18463.86932,14819.52505,55909.20357,21648.60151,24826.84188,15165.42117,21485.5015,12299.90101,12861.94081,9331.240593,19776.62151,15652.46099,13368.4409
6_Oxoglutaric acid; 8_Oxoglutaric acid,0.31999847,12.94810371,4.940535223,0.026233912,0.39186906,147 -> 105.9,pos2,8035.288577,6751.060461,37653.10252,9037.620625,9746.780701,6288.26046,8867.760563,4798.040295,6308.420513,5959.100433,8800.040615,7672.280495,6453.440491
5_Citrulline,-0.318800273,10.52883862,4.845316222,0.027721309,0.405636301,176.1 -> 70.1,pos1,2474.160181,3091.644215,13734.42102,4479.860294,2212.600155,3134.94025,3236.760262,2705.540169,2293.120167,2332.380173,2271.980167,2805.500191,2356.340157
5_Asparagine,-0.301604947,9.460088358,4.297529597,0.038167777,0.547325923,133.1 -> 74,pos2,1505.66011,1858.552129,2975.380211,2837.240204,1532.760113,1690.420101,1452.260109,1472.520103,1204.340084,1773.080124,1468.680099,1519.500114,1870.260147
1_L-Carnitine,-0.297263733,9.46005219,4.184033826,0.040806466,0.564567596,162.1 -> 102.1,pos2,1661.944124,2047.232145,1249.880085,3526.680229,1513.720116,1894.280136,1794.580109,1390.140091,1579.58012,1743.060135,1478.020119,1682.000134,1943.820156
3_Malic acid,0.297696351,9.212630872,4.178292613,0.04094493,0.564567596,135 -> 99,pos2,1702.056119,1384.464093,1220.180092,1401.120102,2605.800179,1285.580097,1448.060093,1275.960083,1552.32011,1566.0201,1378.940094,1393.640083,1525.160118
2_Alanine,0.293236434,10.60300386,4.113323468,0.042546676,0.570916501,90 -> 72,pos1,3901.460284,3181.748235,8303.680611,2979.240196,5565.080391,3432.780251,3464.460289,2179.380154,3011.620224,4074.540321,2640.060181,3242.800251,4826.080334
5_D-Sorbitol,0.294565242,9.36828949,4.095484866,0.042997895,0.570916501,183.1 -> 85,pos1,1776.704124,1447.916102,2430.760155,1342.980103,2100.500164,1665.800117,1573.740112,1421.000092,1913.620129,1411.700096,1522.400089,1398.100101,1773.260128
3_Elaidic acid,0.288407605,9.918260212,3.952950921,0.04678925,0.599069508,283.3 -> 69.1,pos1,2449.24017,2004.756147,4916.020332,1936.840137,3318.300232,2047.520145,2258.480141,1584.040115,2298.140152,2389.560184,1744.940117,2065.820152,2626.34021
4_DL-Homoserine; 4_L-Threonine,-0.288824086,10.36049441,3.969029621,0.046344473,0.599069508,120.1 -> 74.1,pos2,2232.632153,2831.924209,8694.900574,6681.400448,2332.82016,1992.200157,2137.840149,1501.820118,1950.100128,1803.220139,2254.180176,2180.980183,2488.220154
4_DL-Homoserine; 4_L-Threonine,-0.288824086,10.36049441,3.969029621,0.046344473,0.599069508,120.1 -> 74.1,pos1,2143.824146,2627.656194,13160.4208,5169.140419,2174.16016,2115.820129,1978.180119,1586.720131,2256.200161,1900.540123,1912.880135,2366.060169,2397.700153
6_Inosine,-0.277467072,9.561340921,3.650729817,0.056044648,0.692827804,269.1 -> 110,pos1,1778.640125,2161.016151,1536.14011,3603.34026,1713.720127,1880.900135,1763.980125,1579.280106,1751.020123,1683.260113,1837.200123,2058.30014,1827.280128
9_Hypoxanthine,-0.278256632,9.340676987,3.657164936,0.055828555,0.692827804,137 -> 110,pos1,1487.672105,1807.136134,1742.56012,2755.840214,1460.840099,1561.180103,1420.680099,1585.660122,1555.92012,1559.420116,1361.280087,1573.580112,1639.640121
4_5'-CMP,0.26051655,10.19722357,3.237951132,0.071950564,0.874382281,324.1 -> 97,pos1,3038.200226,2535.572192,5110.080387,2351.480171,3313.800243,2413.740177,2372.400169,2383.220181,3572.060265,2810.340218,3076.300247,2719.080212,2856.440205
4_Malic acid,-0.250412521,11.38749823,3.009284726,0.082788816,0.973107887,135 -> 45,pos2,4271.012311,5080.752368,28646.32211,5549.840412,5425.360401,4251.680309,2596.240189,2405.340157,4141.780266,6061.760391,3613.760273,7135.140572,5577.920425
6_Uracil,0.249601049,10.57312038,2.979956595,0.084301533,0.97490644,113 -> 43,pos1,3658.176263,3076.656236,9143.500595,2942.460194,4567.80035,3082.300243,2952.82021,2490.040176,4092.280247,3247.140247,3331.940254,3621.340321,3346.040257
5_Glutamic acid; 5_L-Glutamate,-0.248011171,10.53972807,2.944693986,0.086160017,0.980583047,148.1 -> 56.1,pos2,3317.600231,3946.968275,5539.680397,6194.440422,3725.540257,3378.580242,2844.660202,3250.260231,3311.660225,3383.440228,3190.360222,3528.120251,3515.780251
_2-hydroxy-butanoic acid,0.005032248,9.112546304,0.001193347,0.972442677,0.999974153,103 -> 57.1,neg2,1412.672099,1407.704104,1432.080109,1407.240105,1412.980103,1412.220108,1408.560097,1401.600101,1402.940109,1408.380104,1407.220093,1409.080101,1431.660091
1_(+)-alpha-Tocopherol,0.0030397,9.099236254,4.35E-04,0.983353865,0.999974153,429.4 -> 414.4,neg2,1400.648097,1397.672099,1399.280094,1397.600094,1403.960094,1399.800098,1399.620102,1397.160099,1395.5401,1397.000099,1401.820095,1396.800102,1402.300095
1_2-Aminoadipic acid,0.001469023,8.911019369,1.01E-04,0.991970514,0.999974153,160.1 -> 116.1,neg1,1227.46009,1226.204089,1237.58009,1232.440094,1227.800091,1226.820091,1225.020088,1224.660095,1226.020084,1222.700085,1226.280094,1224.400082,1232.180092
1_2-isopropylmalate; 2_2-Isopropylmalic acid,0.002356757,8.909639589,2.61E-04,0.987118675,0.999974153,175.1 -> 115,neg2,1402.560101,1398.060094,1400.960094,1399.700104,1404.300106,1400.520096,1403.300087,1397.50008,1398.120102,1396.26009,1400.960106,1396.320099,1406.120106
1_2-isopropylmalate; 2_2-Isopropylmalic acid,0.002356757,8.909639589,2.61E-04,0.987118675,0.999974153,175.1 -> 115,neg1,1227.528085,1225.500084,1227.68008,1226.940083,1232.720074,1226.12009,1228.640076,1229.040077,1222.640091,1222.360092,1223.94009,1223.040077,1229.700092
1_2-Isopropylmalic acid,0.001822704,8.907563108,1.56E-04,0.990037698,0.999974153,175.1 -> 150,neg1,1225.564086,1224.000084,1225.560085,1225.640079,1228.460087,1224.440086,1227.120083,1223.980087,1221.540081,1222.420086,1224.540092,1223.520081,1226.160088
1_3-Indoleacetic Acid,0.00356853,9.10059426,6.00E-04,0.980458162,0.999974153,174.1 -> 130,neg2,1402.136103,1398.644099,1401.520096,1399.340099,1407.900105,1400.760098,1401.3801,1398.5201,1397.300102,1397.500103,1399.940105,1397.100098,1404.160103
1_4-Hydroxy-L-proline,0.003403042,9.100158714,5.46E-04,0.981364319,0.999974153,130.1 -> 98.3,neg2,1401.588097,1398.260092,1401.520092,1398.940094,1404.640095,1399.680088,1401.100098,1397.640087,1397.740093,1397.580097,1400.720104,1397.460094,1403.740097
1_5'-CMP,-0.006950498,8.921679744,0.002267815,0.962017828,0.999974153,322 -> 97,neg1,1234.920084,1241.032088,1227.12009,1290.28009,1240.60009,1224.120087,1226.320084,1228.720089,1226.620075,1222.28009,1247.28009,1239.760082,1233.780083
1_6-Hydroxynicotinic acid,-6.69E-04,9.103739444,2.11E-05,0.996334837,0.999974153,138 -> 94,neg2,1402.792098,1403.448103,1408.040096,1411.620098,1403.600101,1406.560104,1406.560097,1396.720104,1395.660095,1397.540104,1401.780113,1404.800102,1406.360085
1_Acetyl CoA,0.001154853,8.908550294,6.26E-05,0.993687799,0.999974153,850.1 -> 419,neg1,1225.948084,1224.952088,1228.160088,1227.860085,1228.00008,1225.420094,1226.060093,1224.760086,1222.16008,1222.500088,1225.120079,1224.220089,1228.400089
1_Acetylcarnitine,0.059950067,9.136236978,0.169432408,0.680616738,0.999974153,204.1 -> 145.1,pos2,1464.572104,1405.532104,1444.040096,1590.220112,1507.400108,1259.560089,1549.960098,1402.860104,1279.600105,1391.760113,1489.480103,1383.260105,1496.420105
1_Aconitic acid,0.016422817,8.933789537,0.012663851,0.910400189,0.999974153,173 -> 129,neg1,1253.928094,1239.74809,1252.620087,1247.780098,1231.980095,1251.240097,1261.600094,1240.400085,1251.200092,1221.180088,1266.320087,1238.140083,1258.540104
1_Adenine,0.001940976,8.914972464,1.77E-04,0.989390478,0.999974153,134 -> 106.9,neg1,1231.636088,1229.980086,1234.980087,1238.040089,1229.160088,1226.040073,1227.720085,1223.900089,1232.400089,1232.680088,1229.300083,1229.240089,1239.600094
1_adipic acid,0.001691676,9.112835723,1.35E-04,0.990734562,0.999974153,145.1 -> 101.1,neg2,1410.300099,1408.652101,1442.380096,1415.640091,1416.860107,1399.560104,1405.440086,1398.340099,1408.100098,1427.240112,1412.940098,1402.480099,1408.160107
1_ADP,-0.001599736,8.911073774,1.20E-04,0.991256016,0.999974153,426 -> 158.9,neg1,1226.780088,1228.148083,1231.760078,1236.720078,1230.120083,1230.000088,1226.840088,1224.540077,1222.120083,1225.760086,1227.360092,1223.720085,1227.460094
1_ADP-Glu,0.001152964,8.960178009,6.25E-05,0.993694619,0.999974153,588.1 -> 346.1,neg1,1270.508092,1269.480088,1274.760098,1273.120087,1272.480099,1268.060085,1269.520096,1270.080093,1270.100086,1265.500092,1268.12009,1270.640083,1272.320087
1_ADP-Rib,1.98E-04,8.92227753,1.83E-06,0.99891982,0.999974153,558.1 -> 366.1,neg1,1234.196087,1234.024089,1270.740086,1234.460087,1227.300083,1225.12009,1226.320091,1223.320084,1265.680092,1264.720097,1224.240082,1222.500088,1227.440086
1_Alanine,0.001763123,8.910457876,1.46E-04,0.990363187,0.999974153,88 -> 42,neg1,1226.696086,1225.184085,1241.160095,1227.580082,1228.000092,1227.540077,1226.320091,1223.960083,1224.140087,1223.100086,1227.580082,1223.740097,1227.440079
1_Allantoin,-4.23E-04,8.906109888,8.38E-06,0.997690661,0.999974153,157 -> 114,neg1,1223.152087,1223.492082,1226.580086,1224.820095,1225.780083,1225.360081,1224.540089,1222.600067,1218.62009,1224.820084,1222.540085,1219.860085,1224.280087
1_Anthranilic acid,-0.001883396,8.909733317,1.66E-04,0.989705754,0.999974153,136 -> 92.1,neg1,1225.800089,1227.388084,1227.780083,1230.060085,1231.340088,1224.080086,1227.560085,1229.120075,1221.600086,1221.520092,1222.76009,1232.160084,1225.740097
1_Arginine,0.003064161,9.09838518,4.42E-04,0.983220124,0.999974153,173.1 -> 156.1,neg2,1399.496095,1396.504101,1401.840096,1398.440102,1403.060093,1397.020103,1397.740097,1396.560104,1398.060093,1396.540092,1397.460094,1393.960102,1401.160099
1_Argininosuccinic acid,0.00191841,9.908945784,1.75E-04,0.989430391,0.999974153,289.1 -> 271.1,neg1,2455.936174,2452.62418,2451.920174,2456.320194,2455.960175,2452.260178,2450.620186,2449.180176,2453.040176,2454.620174,2450.680153,2450.740177,2469.38018
1_Asparagine,2.74E-04,9.102700669,3.53E-06,0.99850173,0.999974153,131 -> 114,neg2,1402.9881,1402.744103,1399.460087,1414.420097,1403.340103,1397.900101,1399.680099,1396.600105,1402.320099,1398.520107,1407.960106,1406.280106,1401.640095
1_Atenolol,0.002038665,9.0994716,1.96E-04,0.988835317,0.999974153,265.2 -> 150.1,neg2,1400.272099,1398.276099,1400.7201,1401.100105,1404.2201,1399.240101,1399.820095,1396.600094,1395.680099,1396.700096,1398.940102,1397.740097,1402.700096
1_ATP,0.001023825,8.908351917,4.92E-05,0.994403954,0.999974153,506 -> 408,neg1,1225.952088,1225.076087,1225.680084,1229.940079,1227.800095,1224.520092,1227.800091,1223.640087,1221.960079,1224.660095,1224.360088,1222.620083,1227.840088
1_Bilirubin,0.009783804,9.104322079,0.00451034,0.94645507,0.999974153,583.3 -> 285.1,neg2,1409.340095,1399.792099,1399.500095,1398.10009,1404.160084,1400.400101,1400.100094,1405.080101,1397.140091,1398.12011,1443.000099,1397.260094,1402.300106
1_Caffeine,1.24E-04,9.099804623,7.30E-07,0.999318352,0.999974153,193.1 -> 178,neg2,1399.888102,1399.736102,1398.820107,1396.940094,1405.160099,1398.500107,1399.300106,1395.080097,1394.980095,1397.14011,1398.660103,1411.020103,1401.340107
1_cAMP,4.82E-04,8.908910283,1.09E-05,0.997367868,0.999974153,328 -> 134,neg1,1226.036085,1225.612086,1227.840084,1229.240086,1227.780087,1224.220093,1224.260082,1223.080086,1222.740093,1222.320087,1223.700081,1229.200081,1231.700081
1_Caprylic acid,0.017301239,8.917073915,0.014052541,0.905637097,0.999974153,145.1 -> 89.1,pos2,1248.05209,1232.824088,1157.000088,1191.480083,1148.920078,1168.140083,1150.68008,1382.740101,1275.240086,1254.62009,1345.160107,1167.140083,1320.260098
1_Carotene,0.00656952,8.971837247,0.002028509,0.964076241,0.999974153,536.4 -> 445.4,pos2,1291.276095,1285.652093,1202.880089,1340.2001,1217.180088,1189.640083,1393.840107,1382.620102,1201.400074,1307.720104,1397.980114,1208.080074,1245.980091
1_CDP,0.001080869,8.908371381,5.48E-05,0.994092208,0.999974153,402 -> 158.9,neg1,1225.436083,1224.500083,1231.300091,1226.140091,1229.320076,1226.740086,1225.880085,1223.440083,1221.140079,1221.940071,1223.980091,1224.240086,1226.860085
1_Cholesterol,-0.077245167,9.130086711,0.281242337,0.595888099,0.999974153,369.4 -> 161.1,pos2,1389.528101,1466.896105,1447.980114,1784.440125,1314.620094,1469.640102,1277.340092,1374.620098,1465.700115,1352.140106,1417.240097,1353.640095,1472.740105
1_Citalopram,-0.021254455,9.04822936,0.02126285,0.884065172,0.999974153,325.2 -> 262.1,pos2,1341.816097,1362.024097,1337.700089,1433.920101,1238.400085,1380.180096,1293.460091,1257.760082,1452.620106,1394.500107,1358.800098,1343.760098,1365.800106
1_Citric acid; 1_Isocitrate,-0.020806241,10.11687065,0.020687222,0.885634293,0.999974153,191 -> 111,neg2,2814.476204,2855.824198,2833.720192,2993.120209,2815.120205,2821.960178,2821.300198,2803.860188,2816.480198,2821.720207,2812.500214,2838.460209,2806.980206
1_Citrulline,0.003041485,9.100347609,4.36E-04,0.983343983,0.999974153,174.1 -> 131.1,neg2,1401.3201,1398.344099,1404.460094,1398.500103,1403.200104,1398.460098,1400.040092,1396.260094,1402.80011,1402.5201,1398.240093,1395.980103,1402.320103
1_Creatine,1.04E-04,8.907948117,5.10E-07,0.999430388,0.999974153,130.1 -> 112,neg1,1225.052082,1224.948084,1227.000084,1226.900085,1226.84008,1225.520088,1226.020084,1224.080078,1222.540077,1223.120083,1223.380085,1225.120087,1226.480083
1_Creatinine,0.004573862,9.100469763,9.86E-04,0.974954453,0.999974153,112.1 -> 68,neg2,1402.49609,1398.028097,1401.440098,1397.5401,1408.860096,1399.800098,1402.140087,1396.980091,1395.720085,1399.42009,1403.140091,1396.400105,1402.62009
